recommendationid,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,steam_purchase,received_for_free,review_cleaned,review_normalized
206312096,76561198039027057,4621,100,1273,0,en,"It's the town I name ALL my towns after when a game lets you name a city/farm/town. A true legacy here! Beautiful, subtle horror, my favorite kind. This game put me on the path to horror I liked verses horror I did not. Silent Hill teaches you about yourself! I had such a creeping sense of dread while playing.. I could not wait to get to the next bit with a PERSON, and the game does a masterful job of revealing just enough to keep you excited for the next meeting. And you will WORK FOR IT because there are so many puzzles, and creepy monsters between you & the story. But it's worth it, even if you know the ending(s) it still packs a punch. I liked this new James better, but the ladies were hotter in the original, it's true! We knew how to make some real hotsie totsies back in the day! Once you get your chosen ending, respect for those who go back for the others - I just looked them up online and they're all amazing! I wish I had the fortitude to get the DOG ending, but there's just so much to play. Love this, very scary, traumatizing, it'll make you think about it FOR DECADES after it ends. Rest easy, sweet Silent Hill.",1760072733,1760072753,True,38,0,0.7649676203727722,False,False,town name town game let name cityfarmtown true legacy beautiful subtle horror favorite kind game put path horror liked verse horror silent hill teach creeping sense dread playing could wait get next bit person game masterful job revealing enough keep excited next meeting work many puzzle creepy monster story worth even know ending still pack punch liked new james better lady hotter original true knew make real hotsie totsies back day get chosen ending respect go back others looked online theyre amazing wish fortitude get dog ending there much play love scary traumatizing itll make think decade end rest easy sweet silent hill,town name town game let name cityfarmtown true legacy beautiful subtle horror favorite kind game put path horror liked verse horror silent hill teach creeping sense dread playing could wait get next bit person game masterful job revealing enough keep excited next meeting work many puzzle creepy monster story worth even know ending still pack punch liked new james better lady hotter original true knew make real hotsie totsies back day get chosen ending respect go back others looked online theyre amazing wish fortitude get dog ending there much play love scary traumatizing itll make think decade end rest easy sweet silent hill
207580306,76561198438824718,177,9,2655,2514,en,"This was my first time playing a Silent Hill game, and it was without a doubt one of the best survival horror experiences I’ve ever had. I was really fascinated, the story had so many details it was almost overwhelming, and there were many moments when I truly felt scared. I’m really happy about it, and I’ll keep playing more Silent Hill games. Special thanks to Hearse Boy and Kozu for recommending it, and to Onix and Cerber for explaining more about the game. ╰(*°▽°*)╯",1761423721,1761423721,True,13,0,0.6877745985984802,False,False,first time playing silent hill game without doubt one best survival horror experience ive ever really fascinated story many detail almost overwhelming many moment truly felt scared im really happy ill keep playing silent hill game special thanks hearse boy kozu recommending onix cerber explaining game,first time playing silent hill game without doubt one best survival horror experience i have ever really fascinated story many detail almost overwhelming many moment truly felt scared i am really happy ill keep playing silent hill game special thanks hearse boy kozu recommending onix cerber explaining game
207736859,76561198052128124,850,52,3163,2380,en,"Even decades later, the atmosphere, storytelling, and symbolism put most modern horror games to shame. If you want horror with heart, depth, and genuine dread — this is it.  ⭐ 10/10 – Welcome back to Silent Hill.",1761591528,1761591528,True,18,0,0.7225341796875,False,False,even decade later atmosphere storytelling symbolism put modern horror game shame want horror heart depth genuine dread welcome back silent hill,even decade later atmosphere storytelling symbolism put modern horror game shame want horror heart depth genuine dread welcome back silent hill
206953266,76561198958647687,69,7,1836,147,en,"It is the first game that i replayed right after the first playthrough. I didn't play original, but saw same comparison and wow, what i beautifull remake. I thought that my second run will be less scary, but i was absolute wrong. It is even scarier knowing all the story and how it ends. Thanks to Bloober Team for this remake, we see that passion and tribute to the original one",1760732714,1760732714,True,11,0,0.6154593229293823,True,False,first game replayed right first playthrough didnt play original saw comparison wow beautifull remake thought second run less scary absolute wrong even scarier knowing story end thanks bloober team remake see passion tribute original one,first game replayed right first playthrough didnt play original saw comparison wow beautifull remake thought second run less scary absolute wrong even scarier knowing story end thanks bloober team remake see passion tribute original one
206652635,76561199218848837,0,4,955,0,en,playing the game spoiler free and experiencing this story for the first time is definitely worth the price. highly recommend it to anyone that has not played Silent Hill before,1760379165,1760379165,True,6,0,0.602079689502716,True,False,playing game spoiler free experiencing story first time definitely worth price highly recommend anyone played silent hill,playing game spoiler free experiencing story first time definitely worth price highly recommend anyone played silent hill
205720505,76561198099274185,1909,321,1345,0,en,"Pretty good. Graphics, gameplay and voice are all great. Faithful to OG. But, it has some severe bugs and performance problems that can stop you from progressing.",1759436584,1760562355,True,8,0,0.6005852222442626,False,False,pretty good graphic gameplay voice great faithful og severe bug performance problem stop progressing,pretty good graphic gameplay voice great faithful og severe bug performance problem stop progressing
206210737,76561199181527357,205,11,2745,0,en,a HOOD classic! also bloober killed it on the remake can't wait to see how they tackle silent hill 1.,1759949635,1759949635,True,11,0,0.5910062789916992,True,False,hood classic also bloober killed remake cant wait see tackle silent hill,hood classic also bloober killed remake cannot wait see tackle silent hill
206213508,76561198027102438,1363,164,1417,0,en,"In short - Awesome, awesome, awesome remake to the awesome SH classing, and finally some breathe of life to the franchise.   ✅ Pros + Bloober Team respects original source material and enhances it greatly. + This has everything that made SH2 great and improving pretty much everything that can be improved without hurting the original magic: Better combat, better graphics, better voice acting, awesome soundtrack + Great scared, eerie tone and psychological fear + Can easily be a strong entry point for newbies to Silent Hill or survival horror games. + Difficulty feels fair and balanced while still challenging, on Normal (Action\Puzzles) + There's puzzles difficultly and combat difficulty, yay!  ⚖️ If that's your thing: +/- Classic Survival Horror games can at many times feel like closed doors simulator, and the remake doesn't so anything to change this (Which I personally didn't expect or mind) +/- Combat is greatly improved but still feels clunky, in a genre-fitting way I believe +/- Linear and relatively short (As pretty much most SH games)  ❌ Cons None!   Longer version no one reads:  I'm finishing this game with a sigh of relief, as looks like at least for the time being, Silent Hill is back on track.  After having played and loved almost all main Silent Hill games (Besides Downpour, on which I didn't get my hands on yet) (And yeah, I loved even Homecoming!), Seemed Silent Hill went dead forever, and then we got.... Well, Silent Hill Ascension, which was.... Ugh, let's not get into it. But then we got THIS.  I was expecting the remake for a long time, and having also played and enjoyed The Medium by Bloober I also had faith they'd do a good job, but still had doubts as their previous games weren't so much action oriented.  I guess making a remake is somewhat easier in that case as they didn't have to create something completely anew but more of re-doing some already existing powerful source material. While I'm not that hardcore fan which completed every SH 20 times - I've only completed the original once, and that was many years ago, so I cannot point out all the differences etc. Still in my honest opinion, I feel Bloober did a perfect job in this one - much respect to the source material, they're really managed to capture the magic and horror of the original game, preserving what worked and improving everything that could be improved - The soundtrack remains loyal to the original with some musical overhaul from time to time (which I liked). The new voice overs work well and capture the eeriness and weirdness of the original characters. Graphics are obviously overhauled and look modern and pretty darn good (and scary!). Script and story remained mostly (if not completely) the same as far as I can remember, which is a good thing. Combat is greatly improved and feels mostly great, while still keeping that survival-horror awkwardness (which some may feel is a ""bug"" and some a ""feature"", but I think it serves the game just right). I think some puzzles were replaced but I've enjoyed the whole experienced on Normal from beginning to an end. Quality of scares does not fall short from original game and there's just the right balance between jump scares and some freaking psychological fear (Oh and that damn limbs monster got me squeaking every time!)  I feel this game can also serve as a great entry point for newcomers to both Silent Hill and\or Survival Horror, this is truly a modern version capturing all the best things about Silent Hill, in my opinion. I can see why some might prefer a more Resident-Evil-ish direction when SH games can sometimes feel like closed doors simulator, but hey, isn't that part of Survival Horroring?  Already expecting to play Silent Hill F although not by same dev, but seems it's doing pretty well by the reviews, and mainly I'm very happy having some attention and actual resources going towards this series, and very hopeful we'll keep seeing some more quality stuff from the franchise (And I wouldn't mind another remake as well (=;  ) ",1759952303,1759952303,True,6,0,0.5844473242759703,True,False,short awesome awesome awesome remake awesome sh classing finally breathe life franchise pro bloober team respect original source material enhances greatly everything made sh great improving pretty much everything improved without hurting original magic better combat better graphic better voice acting awesome soundtrack great scared eerie tone psychological fear easily strong entry point newbie silent hill survival horror game difficulty feel fair balanced still challenging normal actionpuzzles there puzzle difficultly combat difficulty yay thats thing classic survival horror game many time feel like closed door simulator remake doesnt anything change personally didnt expect mind combat greatly improved still feel clunky genrefitting way believe linear relatively short pretty much sh game con none longer version one read im finishing game sigh relief look like least time silent hill back track played loved almost main silent hill game besides downpour didnt get hand yet yeah loved even homecoming seemed silent hill went dead forever got well silent hill ascension ugh let get got expecting remake long time also played enjoyed medium bloober also faith theyd good job still doubt previous game werent much action oriented guess making remake somewhat easier case didnt create something completely anew redoing already existing powerful source material im hardcore fan completed every sh time ive completed original many year ago point difference etc still honest opinion feel bloober perfect job one much respect source material theyre really managed capture magic horror original game preserving worked improving everything could improved soundtrack remains loyal original musical overhaul time time liked new voice over work well capture eeriness weirdness original character graphic obviously overhauled look modern pretty darn good scary script story remained mostly completely far remember good thing combat greatly improved feel mostly great still keeping survivalhorror awkwardness may feel bug feature think serf game right think puzzle replaced ive enjoyed whole experienced normal beginning end quality scare fall short original game there right balance jump scare freaking psychological fear oh damn limb monster got squeaking every time feel game also serve great entry point newcomer silent hill andor survival horror truly modern version capturing best thing silent hill opinion see might prefer residentevilish direction sh game sometimes feel like closed door simulator hey isnt part survival horroring already expecting play silent hill f although dev seems pretty well review mainly im happy attention actual resource going towards series hopeful well keep seeing quality stuff franchise wouldnt mind another remake well,short awesome awesome awesome remake awesome sh classing finally breathe life franchise pro bloober team respect original source material enhances greatly everything made sh great improving pretty much everything improved without hurting original magic better combat better graphic better voice acting awesome soundtrack great scared eerie tone psychological fear easily strong entry point newbie silent hill survival horror game difficulty feel fair balanced still challenging normal actionpuzzles there puzzle difficultly combat difficulty yay thats thing classic survival horror game many time feel like closed door simulator remake doesnt anything change personally didnt expect mind combat greatly improved still feel clunky genrefitting way believe linear relatively short pretty much sh game con none longer version one read i am finishing game sigh relief look like least time silent hill back track played loved almost main silent hill game besides downpour didnt get hand yet yeah loved even homecoming seemed silent hill went dead forever got well silent hill ascension ugh let get got expecting remake long time also played enjoyed medium bloober also faith theyd good job still doubt previous game werent much action oriented guess making remake somewhat easier case didnt create something completely anew redoing already existing powerful source material i am hardcore fan completed every sh time i have completed original many year ago point difference etc still honest opinion feel bloober perfect job one much respect source material theyre really managed capture magic horror original game preserving worked improving everything could improved soundtrack remains loyal original musical overhaul time time liked new voice over work well capture eeriness weirdness original character graphic obviously overhauled look modern pretty darn good scary script story remained mostly completely far remember good thing combat greatly improved feel mostly great still keeping survivalhorror awkwardness may feel bug feature think serf game right think puzzle replaced i have enjoyed whole experienced normal beginning end quality scare fall short original game there right balance jump scare freaking psychological fear oh damn limb monster got squeaking every time feel game also serve great entry point newcomer silent hill andor survival horror truly modern version capturing best thing silent hill opinion see might prefer residentevilish direction sh game sometimes feel like closed door simulator hey isnt part survival horroring already expecting play silent hill f although dev seems pretty well review mainly i am happy attention actual resource going towards series hopeful well keep seeing quality stuff franchise wouldnt mind another remake well
206285489,76561199000566282,0,7,841,0,en,"I haven't played a game in my life that had this atmosphere, horror games don't really scare me but this one did, the sound design is 10/10, its a masterpiece in horror and generally a chilling experience, I cant think of anything that comes close to this, so good, horrifyingly good.",1760039678,1760040120,True,8,0,0.576719582080841,True,False,havent played game life atmosphere horror game dont really scare one sound design masterpiece horror generally chilling experience cant think anything come close good horrifyingly good,havent played game life atmosphere horror game do not really scare one sound design masterpiece horror generally chilling experience cannot think anything come close good horrifyingly good
207083941,76561198014451341,532,50,457,0,en,"I've already played trough this game on PS5 and now it's time to play it again on PC. I was very afraid how Bloober Team would handle this remake, because for me, the original Silent Hill 2 videogame is a historical milestone in videogame history. I'm happy to say that they understood the assignment and I could not stop playing SILENT HILL 2. Fantastic job and I could not be more happier!",1760873498,1760873498,True,6,0,0.5714970827102661,True,False,ive already played trough game p time play pc afraid bloober team would handle remake original silent hill videogame historical milestone videogame history im happy say understood assignment could stop playing silent hill fantastic job could happier,i have already played trough game p time play pc afraid bloober team would handle remake original silent hill videogame historical milestone videogame history i am happy say understood assignment could stop playing silent hill fantastic job could happier
