recommendationid,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,steam_purchase,received_for_free
205802772,76561199005068844,0,51,2218,0,turkish,"Bloober, ele aldığı esere büyük bir saygı göstermiş. Orijinalin melankolik ruhunu korurken, grafik ve oynanış anlamında günümüz standartları için oldukça iyi hale getirilmiş bir deneyim sunmuş. Oyunun kalbinde, James Sunderland ve uzun, amansız bir hastalıktan muzdarip olan eşi Mary nin yıkıcı hikayesi yatıyor. Mary nin hastalığı ilerledikçe, James in ona olan sevgisi bıkkınlığa, kızgınlığa ve tükenmişliğe dönüşmüştür. James, karısının acısına ve kendi çaresizliğine dayanamayarak, onu duygusal olarak terk etmiş ve acı dolu son günlerinde ondan uzaklaşmıştır. Bu ağır yük ve derin pişmanlık, James in mektup üzerine Silent Hill e çağrılmasının asıl nedenidir. Mektup, James için sadece Mary nin izini sürme daveti değil, aynı zamanda kendi ruhunun derinliklerine gömdüğü gizli bir suçlulukla yüzleşme zorunluluğudur. James in yolculuğu, kısa sürede suçluluk, pişmanlık ve bastırılmış arzularla örülmüş, kişisel bir kabusa dönüşüyor. Bu yolculukta karşılaştığı yardımcı karakterler, kasabanın öznel etkileşiminin en çarpıcı kanıtlarıdır: Maria: James in karşısına çıkan, Mary ye benzeyen ancak çok daha baştan çıkarıcı bir figürdür. Maria, James in cinsel arzu, saplantı ve hayal kırıklığı gibi bastırılmış isteklerinin somutlaşmış halidir. Angela: Kasabanın sisinde kaybolmuş genç bir kadındır. Onun hikayesi, aile içi istismar ve derin çaresizlik temalarına odaklanır. Angela nın gördüğü yaratıklar ve onun bulunduğu ortamlar, kişisel travmasının yarattığı cehennemi yansıtır. Eddie: Genellikle abur cubur yiyen, aşırı kilolu ve beceriksiz bir adamdır. Eddie nin hikayesi ise dışlanmışlık, şiddet ve öfkenin sonuçlarını ele alır. Kasaba, onun bu bastırılmış öfkesini ve intikam arzusunu somutlaştırır. Laura: Kasabada sürekli karşımıza çıkan küçük bir kızdır. Laura, James in gördüğü korkunç yaratıkları ve kaosu görmeyen tek kişidir. O, Mary nin hastaneden tanıdığı ve saf bir bağ kurduğu masumiyeti temsil eder. Laura nın varlığı, kasabanın lanetinin yalnızca günah ve pişmanlık taşıyan yetişkinlerin algısında var olduğunu en güçlü şekilde gösterir. Özellikle Piramit Kafa gibi figürler, yalnızca yaratık olmaktan çıkıp, James in ruhunun derinliklerinden gelen ve onu sürekli cezalandıran suçluluk duygusunun somutlaşmış hali olarak öne çıkıyor.  Tarihin en iyi psikolojik korku hikayelerinden biri belki de en iyisidir. 10/10",1759524539,1759776755,True,426,2,0.972315371036529541,False,False
206658511,76561198236639836,643,51,1122,0,russian,"В это нужно именно играть. Не смотреть обзоры, не листать статьи, не залипать в летсплеи. В это либо играете сами, либо никак.",1760383828,1760384020,True,38,0,0.81143486499786377,True,False
207733276,76561198402886432,446,8,25,0,schinese,去你妈的，秋促，万圣节都不打折，科乐美你是妈死了吗？,1761588212,1761588212,False,78,29,0.828293561935424805,True,False
206312096,76561198039027057,4621,100,1273,0,english,"It's the town I name ALL my towns after when a game lets you name a city/farm/town. A true legacy here! Beautiful, subtle horror, my favorite kind. This game put me on the path to horror I liked verses horror I did not. Silent Hill teaches you about yourself! I had such a creeping sense of dread while playing.. I could not wait to get to the next bit with a PERSON, and the game does a masterful job of revealing just enough to keep you excited for the next meeting. And you will WORK FOR IT because there are so many puzzles, and creepy monsters between you & the story. But it's worth it, even if you know the ending(s) it still packs a punch. I liked this new James better, but the ladies were hotter in the original, it's true! We knew how to make some real hotsie totsies back in the day! Once you get your chosen ending, respect for those who go back for the others - I just looked them up online and they're all amazing! I wish I had the fortitude to get the DOG ending, but there's just so much to play. Love this, very scary, traumatizing, it'll make you think about it FOR DECADES after it ends. Rest easy, sweet Silent Hill.",1760072733,1760072753,True,38,0,0.764967620372772217,False,False
207580306,76561198438824718,177,9,2655,2514,spanish,"This was my first time playing a Silent Hill game, and it was without a doubt one of the best survival horror experiences I’ve ever had. I was really fascinated, the story had so many details it was almost overwhelming, and there were many moments when I truly felt scared. I’m really happy about it, and I’ll keep playing more Silent Hill games. Special thanks to Hearse Boy and Kozu for recommending it, and to Onix and Cerber for explaining more about the game. ╰(*°▽°*)╯",1761423721,1761423721,True,13,0,0.687774598598480225,False,False
206159700,76561198360048220,173,21,1268,0,schinese,事实是，我恨你，我也不想再管你了，我只想让生活重回正轨 [spoiler] 这话出来的时候都泪崩了。 正好自己在玩游戏的时候情感状态也非常不稳定，犹犹豫豫，感觉自己和老詹一样不甘心。 [/spoiler] 10/10神作,1759888138,1759888138,True,17,0,0.686011672019958496,True,False
207736859,76561198052128124,850,52,3163,2380,english,"Even decades later, the atmosphere, storytelling, and symbolism put most modern horror games to shame. If you want horror with heart, depth, and genuine dread — this is it.  ⭐ 10/10 – Welcome back to Silent Hill.",1761591528,1761591528,True,18,0,0.7225341796875,False,False
205851872,76561198401195738,368,102,879,0,schinese,其他恐怖游戏教你恐惧，而寂静岭教你不想玩不用非得玩,1759580473,1759580473,True,12,0,0.654424428939819336,True,False
205805601,76561198202137806,186,210,1342,0,brazilian,"Finalizei ontem Silent Hill 2 Remake e decidi ver todos os oito finais para formar uma opinião mais crítica sobre o jogo. O primeiro que alcancei foi o de Maria, mas ele simplesmente não parecia certo. Depois de assistir a todos, na minha visão, o mais realista é o In Water. Não darei spoilers, mas esse final fez com que todo o enredo ganhasse mais sentido.  Falando sobre o jogo em si: o gameplay é muito bom, e a história pode ser confusa se não prestarmos atenção nos mínimos detalhes e nuances. As criaturas são interessantes; a princípio achei que havia poucas, até perceber que cada uma carrega um significado. Os gráficos são bonitos, mas preciso comentar sobre os problemas de performance. Mesmo com um PC acima dos requisitos, os crashes eram constantes (Unreal Engine 5…) até eu instalar mods de performance feitos pela comunidade, que resolveram o problema.  Ah, uma curiosidade: abri o mapa cerca de 1.647 vezes — não sei se alguém conseguiu mais do que isso kkkkk.  No fim, recomendo o jogo, mas os problemas de performance certamente são um ponto de atenção.",1759527198,1759527198,True,8,0,0.642857134342193604,False,False
206836477,76561198991933068,50,4,2366,0,spanish,"habiendo completado todos los finales correspondientes, puedo ya decir que es uno de los mejores juegos que he jugado en mi vida. excelente de inicio a fin, la optimización está media hecha con los pies, pero no deja de ser un excelente remake muy fiel a su versión clásica, mejorando casi todos los aspectos de esta última y brindando detalles que demuestran el cariño que le pusieron a este juego. por lo demás, excelente juego para adentrarse a la saga (prueben la versión clásica si pueden tb). en fin, juegazo en toda regla :D   pd: de las mejores bandas sonoras de toda la historia de los videojuegos, lleva la experiencia músical de la versión clásica a un nivel simplemente MÁGICO, te atrapa totalmente.",1760598587,1760598587,True,7,0,0.617117106914520264,False,False
