source,review_description,sentiment,stemmed_text,lemma_text
App Store,I’m excited for this app but the MAJORITY of my feed is people I don’t follow and brands! Please stop. I don’t want those on my home page. I’m happy to check recommended content on an explore page but what’s the point of choosing who to follow if the app is going to decide what I’m going to see for me??,Negative,im excit app major feed peopl dont follow brand pleas stop dont want home page im happi check recommend content explor page what point choos follow app go decid im go see,im excited app majority feed people dont follow brand please stop dont want home page im happy check recommended content explore page whats point choosing follow app going decide im going see
Google Play,First downloader so follow me Insta id. sam_asif_07,Positive,first download follow insta id samasif,first downloader follow insta id samasif
Google Play,Not bad at all,Negative,bad,bad
Google Play,Needed some new app.,Positive,need new app,needed new app
Google Play,Haven't used the app yet but from what I see from people's reviews I think it's great so I'm giving it 5 stars 🥰,Positive,havent use app yet see peopl review think great im give star,havent used app yet see people review think great im giving star
Google Play,Want to attach screenshots of the problem I am facing. Screen got shivering while I am entering into it and it is the worst😠,Negative,want attach screenshot problem face screen got shiver enter worst,want attach screenshots problem facing screen got shivering entering worst
Google Play,Horrible could not keep app open.,Negative,horribl could keep app open,horrible could keep app open
Google Play,Better than Twitter...,Positive,better twitter,better twitter
Google Play,"Good, plain, easy. No WIDGETS???",Positive,good plain easi widget,good plain easy widget
Google Play,This app is beautiful and trustful 👍👍,Neutral,app beauti trust,app beautiful trustful
Google Play,What a smooth ui,Positive,smooth ui,smooth ui
Google Play,Probably the first person tell you why i gave it a 5 star is because i think is better than twitter but is my opinion,Positive,probabl first person tell gave star think better twitter opinion,probably first person tell gave star think better twitter opinion
Google Play,Nothing special,Neutral,noth special,nothing special
Google Play,Love it!,Positive,love,love
Google Play,This app is not safe,Negative,app safe,app safe
Google Play,They want me to pay for a service that show's no improvement,Negative,want pay servic show improv,want pay service show improvement
Google Play,"U wont let us to curse and post lewd, twitter is better then",Neutral,u wont let us curs post lewd twitter better,u wont let u curse post lewd twitter better
Google Play,Very true,Positive,true,true
Google Play,I am facing an issue with this application. Whenever I am trying to reply or quote a video the application shuts off by itself and that video disappears. It's happening from the day one that I had downloaded threads. Please fix that problem. Thank you.,Negative,face issu applic whenev tri repli quot video applic shut video disappear happen day one download thread pleas fix problem thank,facing issue application whenever trying reply quote video application shuts video disappears happening day one downloaded thread please fix problem thank
Google Play,"Not bad as a new app.. however, it does need a few improvement of features as well as some new features... I hope also that it will be allowed to navigate through different accounts just like Instagram. I have multiple accounts for multiple purposes and I would like to have separate threads accounts that are easily navigated through.",Neutral,bad new app howev need improv featur well new featur hope also allow navig differ account like instagram multipl account multipl purpos would like separ thread account easili navig,bad new app however need improvement feature well new feature hope also allowed navigate different account like instagram multiple account multiple purpose would like separate thread account easily navigated
Google Play,This app heg me...😠🤬,Neutral,app heg,app heg
Google Play,Ita not working in my device after login it buffering while scrolling and showing overlapping post and content.,Neutral,ita work devic login buffer scroll show overlap post content,ita working device login buffering scrolling showing overlapping post content
Google Play,App is not working correctly it blurs all posts and letters,Negative,app work correctli blur post letter,app working correctly blur post letter
Google Play,No chat no cool,Negative,chat cool,chat cool
Google Play,looks more simpler to catch up,Positive,look simpler catch,look simpler catch
App Store,"I definitely think this app is a good idea but it’s missing a few key features that still make Twitter better such as having a following tab so I can just see threads from the people I follow, a notifications tab so I can see the threads that I turned notifications on for without having to search for them after I open the app, if those two things were implemented this app could be better than Twitter",Neutral,definit think app good idea miss key featur still make twitter better follow tab see thread peopl follow notif tab see thread turn notif without search open app two thing implement app could better twitter,definitely think app good idea missing key feature still make twitter better following tab see thread people follow notification tab see thread turned notification without search open app two thing implemented app could better twitter
Google Play,Has potential but pretty bare bones atm. The lack of hashtags and the inability to search Threads makes discoverablity nonexistent. Bookmarks and media tab would also be good.,Neutral,potenti pretti bare bone atm lack hashtag inabl search thread make discoverabl nonexist bookmark media tab would also good,potential pretty bare bone atm lack hashtags inability search thread make discoverablity nonexistent bookmark medium tab would also good
Google Play,No information from the user....,Negative,inform user,information user
Google Play,better laugh than twitter,Positive,better laugh twitter,better laugh twitter
Google Play,Enjoy the censorship if that's your thing,Negative,enjoy censorship that thing,enjoy censorship thats thing
