source,review_description,sentiment,processed_text
App Store,I’m excited for this app but the MAJORITY of my feed is people I don’t follow and brands! Please stop. I don’t want those on my home page. I’m happy to check recommended content on an explore page but what’s the point of choosing who to follow if the app is going to decide what I’m going to see for me??,Negative,im excit app majority fe people dont follow brand please stop dont want home page im happy check recommend content explore page what point choos follow app go decide im go see
Google Play,First downloader so follow me Insta id. sam_asif_07,Positive,first downloader follow insta id samasif
Google Play,Not bad at all,Negative,bad
Google Play,Needed some new app.,Positive,need new app
Google Play,Haven't used the app yet but from what I see from people's reviews I think it's great so I'm giving it 5 stars 🥰,Positive,havent us app yet see people review think great im giv star
Google Play,Want to attach screenshots of the problem I am facing. Screen got shivering while I am entering into it and it is the worst😠,Negative,want attach screenshot problem fac screen got shiver enter worst
Google Play,Horrible could not keep app open.,Negative,horrible could keep app open
Google Play,Better than Twitter...,Positive,better twitter
Google Play,"Good, plain, easy. No WIDGETS???",Positive,good plain easy widget
Google Play,This app is beautiful and trustful 👍👍,Neutral,app beautiful trustful
Google Play,What a smooth ui,Positive,smooth ui
Google Play,Probably the first person tell you why i gave it a 5 star is because i think is better than twitter but is my opinion,Positive,probably first person tell gave star think better twitter opinion
Google Play,Nothing special,Neutral,noth special
Google Play,Love it!,Positive,love
Google Play,This app is not safe,Negative,app safe
Google Play,They want me to pay for a service that show's no improvement,Negative,want pay service show improvement
Google Play,"U wont let us to curse and post lewd, twitter is better then",Neutral,u wont let u curse post lewd twitter better
Google Play,Very true,Positive,true
Google Play,I am facing an issue with this application. Whenever I am trying to reply or quote a video the application shuts off by itself and that video disappears. It's happening from the day one that I had downloaded threads. Please fix that problem. Thank you.,Negative,fac issue application whenever try reply quote video application shut video disappear happen day one download thread please fix problem thank
Google Play,"Not bad as a new app.. however, it does need a few improvement of features as well as some new features... I hope also that it will be allowed to navigate through different accounts just like Instagram. I have multiple accounts for multiple purposes and I would like to have separate threads accounts that are easily navigated through.",Neutral,bad new app however ne improvement feature well new feature hope also allow navigate different account like instagram multiple account multiple purpose would like separate thread account easily navigat
Google Play,This app heg me...😠🤬,Neutral,app heg
Google Play,Ita not working in my device after login it buffering while scrolling and showing overlapping post and content.,Neutral,ita work device login buffer scroll show overlapp post content
Google Play,App is not working correctly it blurs all posts and letters,Negative,app work correctly blur post letter
Google Play,No chat no cool,Negative,chat cool
Google Play,looks more simpler to catch up,Positive,look simpler catch
App Store,"I definitely think this app is a good idea but it’s missing a few key features that still make Twitter better such as having a following tab so I can just see threads from the people I follow, a notifications tab so I can see the threads that I turned notifications on for without having to search for them after I open the app, if those two things were implemented this app could be better than Twitter",Neutral,definitely think app good idea miss key feature still make twitter better follow tab see thread people follow notification tab see thread turn notification without search open app two thing implement app could better twitter
Google Play,Has potential but pretty bare bones atm. The lack of hashtags and the inability to search Threads makes discoverablity nonexistent. Bookmarks and media tab would also be good.,Neutral,potential pretty bare bone atm lack hashtag inability search thread make discoverablity nonexistent bookmark media tab would also good
Google Play,No information from the user....,Negative,information user
Google Play,better laugh than twitter,Positive,better laugh twitter
Google Play,Enjoy the censorship if that's your thing,Negative,enjoy censorship that th
Google Play,"Stability is terrible, app seems fun though. Lots of activity and getting plenty of support by users.",Neutral,stability terrible app seem fun though lot activity gett plenty support user
Google Play,LOG IN WITH INSTAGRAM ACCOUNT WHY⁉️⁉️😕,Negative,log instagram account
Google Play,"The app keeps stopping, the replies on a post are repeated while scrolling then the app closes and it is not easy to find friend's posts and profiles",Neutral,app keep stopp replie post repeat scroll app close easy find friend post profile
Google Play,the meta has changed,Positive,meta chang
Google Play,Mark bro we love you 👌,Positive,mark bro love
Google Play,Still need a lot of improvement can you upgrade apply a google translation/translation,Negative,still ne lot improvement upgrade apply google translationtranslation
Google Play,Still learning and navigating but seriously I don't care nor want to discover random people's posts that I am not following on my page. If I wanted to I would search them up to get their posts specifically. Also can't find the posts from accounts that I do follow. Please fix this as this is one of Twitters only redeeming qualities that they have over you.,Neutral,still learn navigat seriously dont care want discover random people post follow page want would search get post specifically also cant find post account follow please fix one twitter redeem qualitie
Google Play,"Very Great App, Much Better Than The Chaos Of Twitter!",Positive,great app much better chao twitter
Google Play,So Much Bugs In The App ! nothing Superb Features Copied Everything From Twitter,Negative,much bug app noth superb feature copi everyth twitter
Google Play,This is just what the world needed.,Positive,world need
Google Play,It keeps stopping while I try to post a photo,Negative,keep stopp try post photo
Google Play,Loving it so far. Would love an edit feature tho ❤️,Positive,lov far would love edit feature tho
Google Play,Copy,Neutral,copy
Google Play,Very Cool app,Positive,cool app
Google Play,Good app,Positive,good app
App Store,Would appreciate to see a following only feed instead of seeing others post that i don’t follow.,Positive,would appreciate see follow fe instead see other post dont follow
Google Play,Threads app is best app this app distroy the Twitter amazing yaar so continuous the meta,Positive,thread app best app app distroy twitter amaz yaar continuou meta
Google Play,Great app. Abhi agile development ho raha hai iss karan se shuruaati features bs aaye hai. Jismein kaam chal Raha hai. Baad mein advanced features bhi aayenge jaise image download aur most hated ADs.,Positive,great app abhi agile development ho raha hai iss karan se shuruaati feature b aaye hai jismein kaam chal raha hai baad mein advanc feature bhi aayenge jaise image download aur hat ad
Google Play,Great app but no themes Only dark them and there is no data save like autoplay you can't control it to never or something I hope next update trying to fix it,Neutral,great app theme dark data save like autoplay cant control never someth hope next update try fix
Google Play,5⭐ Service So I gave 5⭐ 🚧🚧🚧🚧🚧,Positive,service gave
Google Play,"This is a very good social media app, in future it can compete with social media apps like Twitter.",Positive,good social media app future compete social media app like twitter
Google Play,Trending section maybe.,Positive,trend section maybe
App Store,…is that it’s not owned by Elon Musk.,Positive,own elon musk
Google Play,Cool....,Neutral,cool
Google Play,Wonderful... Just need some new features,Positive,wonderful ne new feature
Google Play,"its okayy👌, but could you please add a translation button please",Positive,okayy could please add translation button please
Google Play,It's looks good,Positive,look good
Google Play,"The app is amazing, I really loved it but I am having issues change the mode of the app. It is only on dark mode on my device and I don't know how to change it back",Positive,app amaz really lov issue change mode app dark mode device dont know change back
App Store,"Boring, most followers are just ported over from Instagram and with no hashtags or local content, it’s difficult to find a reason to use.",Negative,bor follower port instagram hashtag local content difficult find reason use
Google Play,Great alternative to the chaos and hate of Twitter.,Positive,great alternative chao hate twitter
Google Play,The real reason why people are quitting Threads because it is literally boring. We have nothing to do on threads rather we prefer using Instagram.,Neutral,real reason people quitt thread literally bor noth thread rather prefer us instagram
Google Play,"If a person removes thread badge on Instagram there should be an option to get back that badge, i mean there's no sense why not you het that back",Negative,person remove thread badge instagram option get back badge mean there sense het back
Google Play,"Very poor app, don't know the actual use",Negative,poor app dont know actual use
App Store,"Its fine ig, its early but it seems kind of clunky so far.",Neutral,fine ig early seem kind clunky far
Google Play,Very nice application,Positive,nice application
Google Play,Nice thread,Positive,nice thread
Google Play,"In this app, you can't control the video and the pictures. Even the data saver doesn't work. Please, there should be a ""never auto autopkay "" and also hide or reduce the pictures quality",Neutral,app cant control video picture even data saver doesnt work please never auto autopkay also hide reduce picture quality
Google Play,"Never thought I would be installing a meta app on my phone but the fumes coming off the cesspool at the original ""internet town square"" is becoming too much.",Positive,never thought would install meta app phone fume com cesspool original internet town square becom much
Google Play,It's just ok. It definitely isn't Twitter. No hashtags and bio character length isn't as long as Twitter. Feels like a beta version.,Negative,ok definitely isnt twitter hashtag bio character length isnt long twitter feel like beta version
Google Play,"Another heavily censored, Trans pedo loving app by the personal data selling scum that own insta and Facebook. For christ sake DO NOT use this app.",Negative,another heavily censor tran pedo lov app personal data sell scum insta facebook christ sake use app
App Store,Will never be better than twitter,Negative,never better twitter
Google Play,Cheap copy of twitter 😦,Negative,cheap copy twitter
Google Play,Wanna know about this app,Negative,wanna know app
Google Play,You can't just copy and paste it... Twitter will always be superior than Threads..!,Negative,cant copy paste twitter alway superior thread
Google Play,This is a cheap imitation of another popular app known as twitter. The interface is average.,Negative,cheap imitation another popular app known twitter interface average
Google Play,The big failure about this app is that attached with Instagram.,Negative,big failure app attach instagram
Google Play,The most restrictive use app that i have ever seen in my life.,Negative,restrictive use app ever seen life
App Store,Twitter without Elon? Sign me up,Positive,twitter without elon sign
Google Play,I need to be famous on the app @max_manso,Neutral,ne famou app maxmanso
Google Play,How will i change it to dark mode,Neutral,change dark mode
Google Play,Threads > twitter 😂,Positive,thread twitter
App Store,Please add DMs sooner or later. I wanna be able to send my friends posts and talk to them on the threads app instead of switching back to instagram,Positive,please add dm sooner later wanna able send friend post talk thread app instead switch back instagram
App Store,Tired of seeing random famous people I dont wanna see on my feed lol,Neutral,tir see random famou people dont wanna see fe lol
Google Play,Twiter tu toh gya,Positive,twiter tu toh gya
Google Play,Very bad,Negative,bad
Google Play,Great app 😁,Positive,great app
Google Play,Flexible currently. But should be improve,Positive,flexible currently improve
Google Play,"Please reduce the size of the app. Also launch a lite version of threads , please.",Neutral,please reduce size app also launch lite version thread please
Google Play,Still too much bugs,Negative,still much bug
Google Play,So glitchy! Like a boot leg Twitter,Negative,glitchy like boot leg twitter
Google Play,Dirty tricks,Negative,dirty trick
Google Play,"It's a great app, but it's crashing when I try to upload a photo. Please have a look",Neutral,great app crash try upload photo please look
Google Play,I am very said when i have a fastest internet and the thread is always loading loading and loading very disappointed,Negative,said fastest internet thread alway load load load disappoint
Google Play,For Twitter. #TeamElonMusk,Negative,twitter teamelonmusk
Google Play,Boring,Neutral,bor
Google Play,"Garbanzo, looks like MySpace had a bastard with Twitter. Terrible UI and nothing relevant.",Negative,garbanzo look like myspace bastard twitter terrible ui noth relevant
Google Play,Mark Zuckerberg sir thank for threading application can you please and I suggest you new application similar by sanpchaat good opportunity for you ☺️,Positive,mark zuckerberg sir thank thread application please suggest new application similar sanpchaat good opportunity
Google Play,"Very promising so far, interested to see where it goes. Will adjust my review later when I've really gotten some good use out of it.",Positive,promis far interest see goe adjust review later ive really gotten good use
Google Play,"Could be promising, but it's already randomly closing out entirely. I feel like instead of developing a new app, Meta should just focus on making its current apps work like they should.",Neutral,could promis already randomly clos entirely feel like instead develop new app meta focu mak current app work like
Google Play,New app very Hot app 😍😍😍,Positive,new app hot app
Google Play,It's full of glitch.. can't even scroll,Negative,full glitch cant even scroll
Google Play,"Why is it that when I post a video, the sound does not appear with the video?",Neutral,post video sound appear video
Google Play,"Threads has definitely grown on me, the algorithm has also gotten drastically better for me which helps a lot. It's only little problems I have with the app now. Wish there was an option to hide reposts from people I follow. Really wish we could pinch and zoom on images; and wish videos would unmute when opened. Otherwise, this is a tremendous first release. It seems to accomplish the goal of Twitter's For You page well and in a way that is enjoyable to use.",Positive,thread definitely grown algorithm also gotten drastically better help lot little problem app wish option hide repost people follow really wish could pinch zoom image wish video would unmute open otherwise tremendou first release seem accomplish goal twitter page well way enjoyable use
App Store,I havent installed yet but im giving one star in advance,Negative,havent install yet im giv one star advance
Google Play,Get something of your own mark,Negative,get someth mark
Google Play,Good one,Positive,good one
Google Play,Some bugs in this application please solve all problems...,Negative,bug application please solve problem
Google Play,"I m getting problm in downloading the app. The app not able to get installed , it have some bugs . Please review it.",Negative,m gett problm download app app able get install bug please review
Google Play,Lot of bugs in this application.,Negative,lot bug application
Google Play,Great app!,Positive,great app
Google Play,Very nice. Thanks to meta. I am a big fan of Mark Zuckerberg 🫡🫡. You are my boss.,Positive,nice thank meta big fan mark zuckerberg boss
Google Play,"Requires an Instagram account, I don't want 2 apps just to use 1. Uninstall.",Neutral,require instagram account dont want app use uninstall
App Store,I dont even want to go on the app anymore because I see so much random stuff. Fix it to where I only see what my friends post.,Negative,dont even want go app anymore see much random stuff fix see friend post
Google Play,One of best app for future,Positive,one best app future
Google Play,"I cant post a picture oh threads, it force close by it self",Neutral,cant post picture oh thread force close self
App Store,"Read the Terms of Service, they’re insane and make other social media platforms look harmless when it comes to spying on you.

Meta recently hired several “former” CIA and FBI to work on threads. Not a coincidence.",Negative,read term service theyre insane make social media platform look harmless come spy meta recently hir several former cia fbi work thread coincidence
Google Play,I am using threads from 7 July but I didn't get any followers. Although I am posting positive content after every five hours.,Negative,us thread july didnt get follower although post positive content every five hour
Google Play,"Awful App - I was inundated with posts from people I wasn't following, and there's no way to stop it, so I couldn't find posts from people I was following, so deleted it.",Negative,awful app inundat post people wasnt follow there way stop couldnt find post people follow delet
Google Play,This app is very sweet and nice. The funny part of it is that it's easy to gain followers,Positive,app sweet nice funny part easy gain follower
Google Play,This app is very good 😊😊😊 i,Positive,app good
App Store,"The app loads up nice and quick, the interface is nice, and the profile set up was painless. But I can't post anything because the app just crashes every time I attempt to",Negative,app load nice quick interface nice profile set painless cant post anyth app crashe every time attempt
Google Play,I am person who end 2M and start 2.1,Positive,person end m start
Google Play,"For some reason, I cannot use this app properly. It's having a glitch throughout and it's annoying. The whole page is filled with glitches. Please do something about it.",Negative,reason cannot use app properly glitch throughout annoy whole page fill glitche please someth
Google Play,Doesn't charge me to use the app. All I need,Positive,doesnt charge use app ne
Google Play,"YOU CANT DELETE YOUR THREADS ACCOUNT UNLESS YOU DELETE YOUR INSTAGRAM also it doesn't have hastags, and its still an insta product so no nudity",Negative,cant delete thread account unless delete instagram also doesnt hastag still insta product nudity
Google Play,After using this app my Instagram account stop working. Even I can't open Instagram app on my device. What should I do?,Negative,us app instagram account stop work even cant open instagram app device
Google Play,basically twitter,Neutral,basically twitter
Google Play,My first 2 posts haven't been uploaded for over 1hr now. What's up?,Negative,first post havent upload hr what
Google Play,"There's only one thing left, dude. Mr. Zuck, hit us up with a DM, ya know? Saw a beautiful girl on this app, but can't seem to find no DM option.",Positive,there one th left dude mr zuck hit u dm ya know saw beautiful girl app cant seem find dm option
Google Play,It should be for non instagram users also.,Negative,non instagram user also
Google Play,Good apps,Positive,good app
Google Play,"So far, so good. Simple and easy to use!",Positive,far good simple easy use
Google Play,Not show view,Neutral,show view
Google Play,Keeps crashing! Can't post anything.,Negative,keep crash cant post anyth
App Store,verify me since I’m the first review please 🫶🏾,Positive,verify since im first review please
Google Play,"This is a very good social media platform, it is much better than twitter, I hope that the application will continue to work well.",Positive,good social media platform much better twitter hope application continue work well
App Store,Better than twitter 👍,Positive,better twitter
Google Play,"No more homophobic, transphobic, xenophobic CEO to ruin your day!",Positive,homophobic transphobic xenophobic ceo ruin day
Google Play,It is a very unique app in terms of design 🫡,Positive,unique app term design
Google Play,Very poor apps,Negative,poor app
Google Play,Very easy to use,Positive,easy use
Google Play,Worst app,Negative,worst app
Google Play,It's a great app but boring tbh. Hoping to improve it more!!,Neutral,great app bor tbh hop improve
Google Play,Very good app,Positive,good app
Google Play,Overall I love the app. However.... I have not been able to follow new people or follow back any of my new followers for over 3 days now and I can not get anyone to help with this issue. Ive even tried to become verified but guess what can't do that either. This is very very frustrating!!!!! 3 stars because of this issue could be 5 if someone from support could help me out.** 5 days now so I'm going to start dropping the stars.,Negative,overall love app however able follow new people follow back new follower day get anyone help issue ive even tri become verifi guess cant either frustrat star issue could someone support could help day im go start dropp star
Google Play,Buggy app on Android,Negative,buggy app android
Google Play,"The more you praise this app, the less it is because its features are amazing.",Positive,praise app less feature amaz
Google Play,App Doesn't work properly.. Showing some error please fix this problem,Negative,app doesnt work properly show error please fix problem
