source,review_description,rating,review_date,sentiment
App Store,I’m excited for this app but the MAJORITY of my feed is people I don’t follow and brands! Please stop. I don’t want those on my home page. I’m happy to check recommended content on an explore page but what’s the point of choosing who to follow if the app is going to decide what I’m going to see for me??,1,2023-07-06 16:17:46,Negative
Google Play,First downloader so follow me Insta id. sam_asif_07,5,2023-07-06 09:50:29,Positive
Google Play,Not bad at all,1,2023-07-14 07:46:22,Negative
Google Play,Needed some new app.,5,2023-07-06 21:14:28,Positive
Google Play,Haven't used the app yet but from what I see from people's reviews I think it's great so I'm giving it 5 stars 🥰,5,2023-07-07 18:07:29,Positive
Google Play,Want to attach screenshots of the problem I am facing. Screen got shivering while I am entering into it and it is the worst😠,1,2023-07-06 23:29:26,Negative
Google Play,Horrible could not keep app open.,1,2023-07-10 23:44:30,Negative
Google Play,Better than Twitter...,5,2023-07-07 07:49:47,Positive
Google Play,"Good, plain, easy. No WIDGETS???",4,2023-07-06 08:15:51,Positive
Google Play,This app is beautiful and trustful 👍👍,3,2023-07-06 14:53:59,Neutral
Google Play,What a smooth ui,5,2023-07-18 10:39:57,Positive
Google Play,Probably the first person tell you why i gave it a 5 star is because i think is better than twitter but is my opinion,5,2023-07-06 22:40:18,Positive
Google Play,Nothing special,3,2023-07-09 04:46:19,Neutral
Google Play,Love it!,5,2023-07-08 04:06:17,Positive
Google Play,This app is not safe,1,2023-07-06 05:12:32,Negative
Google Play,They want me to pay for a service that show's no improvement,1,2023-07-09 18:30:41,Negative
Google Play,"U wont let us to curse and post lewd, twitter is better then",3,2023-07-06 08:35:44,Neutral
Google Play,Very true,5,2023-07-18 09:08:30,Positive
Google Play,I am facing an issue with this application. Whenever I am trying to reply or quote a video the application shuts off by itself and that video disappears. It's happening from the day one that I had downloaded threads. Please fix that problem. Thank you.,1,2023-07-19 13:02:24,Negative
Google Play,"Not bad as a new app.. however, it does need a few improvement of features as well as some new features... I hope also that it will be allowed to navigate through different accounts just like Instagram. I have multiple accounts for multiple purposes and I would like to have separate threads accounts that are easily navigated through.",3,2023-07-09 14:51:07,Neutral
Google Play,This app heg me...😠🤬,3,2023-07-23 04:04:36,Neutral
Google Play,Ita not working in my device after login it buffering while scrolling and showing overlapping post and content.,3,2023-07-07 17:22:41,Neutral
Google Play,App is not working correctly it blurs all posts and letters,1,2023-07-06 20:18:52,Negative
Google Play,No chat no cool,1,2023-07-06 08:14:24,Negative
