source,review_description,rating,review_date,predicted_sentiment
App Store,"The IG & Thread integration is top tier, excited to see where this platform goes",5,2023-07-06 05:57:03,Positive
Google Play,"App is good make more flexible like stories share ,dm",5,2023-07-08 14:41:17,Positive
Google Play,Best Compitator for Twitter,4,2023-07-06 08:50:17,Positive
Google Play,Nicee app,5,2023-07-06 18:45:29,Negative
Google Play,The old threads app was way more useful than this one.,1,2023-07-07 12:17:24,Positive
Google Play,"I logged out to create a second profile, but now I cannot login or create a profile. Keep getting an error message, and then the app crashes. Please help!",4,2023-07-07 17:42:47,Negative
Google Play,I hope this app wins towards Twitter,5,2023-07-06 00:41:33,Positive
Google Play,Good but a copy of Twitter 😁😁,2,2023-07-06 07:24:07,Negative
Google Play,After deleting threads account my Instagram account not opening please solve this problem,1,2023-07-08 07:04:05,Negative
Google Play,The cool thing about @threadsapp for me is the ability to have actual conversations and build communities and friendships through sharing thoughts instead of sharing content. I like talking. I like listening. I like threads.,5,2023-07-06 09:27:14,Positive
App Store,"I try to do something on the app, it gitches and it kicks me ou of the app. I'd like this to be fixed.",2,2023-07-06 22:15:13,Neutral
Google Play,One of the best apps thank you Meta for the ease of working with threads,5,2023-07-08 00:30:17,Positive
Google Play,"Logo is Tamil alphabet,,, Ku ,, which Loose ku , or which ki",5,2023-07-06 08:37:45,Negative
Google Play,"Ok, so again algorithm is going to feed you with all sorts of garbage. Make the ""see people you follow only"" mode.",1,2023-07-14 08:50:04,Negative
Google Play,Never go back option and Instagram combo deleted option,1,2023-07-06 11:15:33,Negative
Google Play,Follow me please,5,2023-07-09 06:27:53,Negative
Google Play,Cool,5,2023-07-07 17:04:53,Positive
Google Play,Blury quality issue,1,2023-07-09 15:36:52,Negative
Google Play,Awful in every way,1,2023-07-19 21:59:33,Negative
Google Play,Not good tow mistek 1.AV video only no audio 2.language no tamil so this app is not good,1,2023-07-08 02:56:07,Neutral
Google Play,"This app have a lot of bug when i write a text ,this app crashed and it closed",3,2023-07-08 05:53:17,Negative
Google Play,"I like it better than twitter, please, please, be the twitter killer.",5,2023-07-06 23:44:12,Positive
Google Play,it's very amazing absolutely very amazing. i like it. eassy and beautiful towards the Instagram. Thank you so much threads.,5,2023-07-08 10:03:40,Positive
Google Play,Great 👍,5,2023-07-08 08:08:33,Positive
App Store,They're censoring like instagram. It's meta can't expect much,1,2023-07-11 16:22:54,Negative
App Store,"The app is nice. However, users should be able to search up specific threads on a topic.   users should also be able to see what’s trending for them, in their country and around the world. Finally users should be presented with thread topics that is based on their interests. 

With these necessary additions I can see my self permanently committing to the Threads app.",4,2023-07-06 14:47:46,Positive
App Store,"I was logged out of my instagram a day after downloading this app, everytime i would open it my instagram would sign me out automatically now i cant get into my instagram account at all, there is zero to no customer support and i want my account back",1,2023-07-08 21:34:19,Negative
Google Play,Osm this aap😀,5,2023-07-06 14:43:14,Negative
Google Play,It's good but no friends available here,5,2023-07-06 03:48:04,Positive
App Store,Es como Twitter pero con cesura 10/10 In loved with this app 😍😍,5,2023-07-06 18:16:22,Positive
Google Play,It's a beginning of @zuck brain,5,2023-07-06 16:37:03,Negative
Google Play,It's glitchy on my phone,1,2023-07-06 22:16:48,Negative
Google Play,Just wow,5,2023-07-08 22:02:49,Positive
Google Play,There is so many glitches,1,2023-07-07 09:55:19,Negative
Google Play,"I think i Love this apps its amazing. I believed and got confidence that threads app have now kicked off Twitter, i was frustrated by Twitter millions times. Keep it up, Threads to the World",4,2023-07-06 15:02:26,Positive
Google Play,It is nice and has hight quality,5,2023-07-07 00:01:44,Positive
Google Play,Doesn't load half of the screens! Sorry something went wrong all the f@#$ing time,1,2023-07-24 18:43:57,Negative
Google Play,"Great app, but it needs dm's and a save feature.",4,2023-07-06 20:08:03,Positive
Google Play,Better than MUSK,5,2023-07-06 09:57:12,Positive
Google Play,I'll give it a 4 rating Good features Unique interms of censorship.. Suggestions 1. Let people that Follow you be visible Alone. 2. Need to also give opportunity to edit name without changing it from instagram.,4,2023-07-07 12:23:15,Positive
Google Play,Roasted Twitter,4,2023-07-07 03:11:03,Positive
Google Play,Not able to login,1,2023-07-07 07:39:43,Negative
Google Play,When i was follow someone after refresh it automatically unfollow but show in my profile that you was follow him,2,2023-07-13 16:54:58,Negative
Google Play,I don't have Instagram ac.,1,2023-07-10 03:25:32,Negative
Google Play,This app without dark mode is just very irritating 😫 Bring it on man or are just busy practicing for the cage fight 😐,4,2023-07-22 17:52:07,Negative
Google Play,Very nice app👍,5,2023-07-06 05:10:39,Positive
Google Play,it's Good,5,2023-07-11 20:32:13,Positive
App Store,"You have no option to deactivate the account 
You can’t join thread without give them permission to all your data",1,2023-07-11 01:00:21,Negative
Google Play,"Weeks into that inaugural June training, one volunteer, a disabled retired Marine Corps captain, called the local sheriff’s office to report he was battered by Florida National Guard instructors when they forcibly shoved him into a van after he questioned the program and its leadership.",5,2023-07-15 13:24:35,Negative
Google Play,Great App!,5,2023-07-06 07:30:39,Positive
App Store,I think it’s cool do lunch this app but really we all know Zuckerberg is doing this for competition against elon,4,2023-07-07 23:23:46,Positive
Google Play,Very exilant app,5,2023-07-06 04:53:17,Negative
Google Play,It's meta and there's no desktop access,1,2023-07-07 01:50:55,Negative
App Store,Needs topics and to stop forcing celebrities on me but it’s fine I guess.,3,2023-07-07 08:13:55,Negative
Google Play,Battle of billionaires and people are affected by that,3,2023-07-05 23:36:32,Negative
Google Play,I couldn't even see my timeline it glitches like hell but I like the idea,2,2023-07-06 17:15:16,Negative
Google Play,It is very tirty app bus mai abhi itna hi boluga,5,2023-07-16 17:16:18,Positive
Google Play,Good app,4,2023-07-06 12:04:02,Positive
App Store,I will stick with Twitter- everything I see aligns with politics and I do believe things are being censored already.,1,2023-07-15 15:22:12,Negative
Google Play,3rd grade copy of twitter. Better we stay on Twitter and keep supporting Musk for freedom of speech.,1,2023-07-09 13:09:00,Negative
Google Play,Good apps,5,2023-07-08 16:14:49,Positive
Google Play,This is good app,5,2023-07-11 18:55:09,Positive
Google Play,Very easy and good app to use,5,2023-07-08 23:51:53,Positive
Google Play,I loved it but we can't save pictures from there that's the problem for me,4,2023-07-08 07:58:11,Negative
Google Play,"So I need Instagram to login, what a dumb app!",1,2023-07-08 14:55:04,Negative
Google Play,it's like twitter... Threads is useless and is boring.,1,2023-07-08 11:57:50,Negative
App Store,"They could have done it years ago but they wanted to control Twitter.
Now when they don’t have control they created this app they did a great job

100m users in a week.",5,2023-07-06 10:27:02,Positive
Google Play,"I want my video muted for private reasons and i hope insta/meta devs can make it slightly bigger so that i avoid pressing the video when pressing the unmute button, i hate it when it happens becoz the video gets enlarge, i like the auto play feature while scrolling, the mute/unmute button is just my problem. So i rate it 4/5, so far so good it feels like a new home, a new space to breath, new people to meet, internet feels new again. Thank you Instagram! Thank you Meta!",4,2023-07-06 16:22:29,Positive
Google Play,May be Zuck should bring innovative ideas rather than copying Snapchat Twitter Tiktok features Plus the app isn't available in App Gallery,1,2023-07-19 09:48:32,Negative
Google Play,The app is good but I'll give it 3 stars why because every time I scroll it glitches and stops working so please try to make it better for low devices,3,2023-07-06 13:27:55,Positive
Google Play,Super app and instagram is very very good what will be very good threads now and there is no better app than this i do it a lot thank you Instagram ❤️☄️🎶🎧💌🌍🤞🏻,5,2023-07-06 20:51:27,Positive
Google Play,Better than Twitter in different ways,3,2023-07-11 11:35:52,Positive
Google Play,error when load then home. its stacking,1,2023-07-06 15:19:17,Negative
Google Play,Smooth,5,2023-07-06 16:53:57,Positive
Google Play,the app shows us posts from people we don't follow this is so st*upid,2,2023-07-06 17:41:44,Negative
Google Play,Bad app this not downloading the app couldn't account not deleted 😔,1,2023-07-09 14:19:30,Negative
Google Play,good Experance,5,2023-07-07 16:18:33,Positive
App Store,This is just invasive. Don’t download.,1,2023-07-16 19:24:08,Negative
Google Play,My experience is good,5,2023-07-08 01:48:06,Positive
Google Play,It's like copy of Twitter... Which also didn't in better way.,1,2023-07-06 01:14:42,Negative
Google Play,Ahmadul Arabi general merchandise 104 Bayan banki jos The strong person is not the one who can wrestle someone else down.,5,2023-07-06 17:30:11,Positive
Google Play,"A hundred failed threads per bolt because the people using them felt like they were thrown into a dry desert, the man who owns meta is the most ignorant man in the world because he didn't ask himself what is the purpose of threads. threads will go where google + went",1,2023-07-20 14:19:38,Negative
Google Play,Harder than twitter 😂🔥🔥,5,2023-07-08 16:43:19,Positive
App Store,this app is amazing and i am just addicted to it,5,2023-07-07 01:17:11,Positive
Google Play,glitches so much,1,2023-07-08 05:03:51,Negative
Google Play,Threads is the best social media ever. love it so much. hopefully they'll be lite version for threads,5,2023-07-09 03:50:49,Positive
Google Play,It's great except I can't watch videos with audio. If I click unmute the video stops playing. Finding support is impossible.,3,2023-07-24 15:41:29,Neutral
App Store,Greatest thing since sliced bread,5,2023-07-08 23:49:24,Negative
Google Play,the app is glitching so badd!! i can't use it properly :/,1,2023-07-08 14:21:31,Negative
Google Play,Sasta Twitter?,3,2023-07-06 05:13:38,Negative
Google Play,Lol why,1,2023-07-08 21:39:11,Negative
Google Play,"Twitter sucks, but this is somehow even more of a tasteless hellscape.",1,2023-07-16 12:13:04,Negative
Google Play,"this app is glitching, i don't know what happened but this app is not working. im trying to use it but it is always glitched. kindly please fix this.",1,2023-07-06 13:41:09,Negative
Google Play,This is a best app,5,2023-07-12 04:14:34,Positive
Google Play,Twitter killer ? No but better than twitter,4,2023-07-06 05:39:39,Positive
Google Play,It's just Twitter.,5,2023-07-08 08:21:19,Negative
Google Play,They won't let you delete your account. The only way to do that is to delete your Instagram account.,1,2023-07-06 21:38:05,Negative
Google Play,"First and foremost, the user interface of Threads is beautifully designed and user-friendly. Navigating through the app is a breeze, with intuitive controls and a clean layout that makes it easy to find what you're looking for. The app's attention to detail in terms of aesthetics is commendable, and it truly enhances the overall user experience",5,2023-07-09 18:35:21,Positive
Google Play,it is Cool!Nice,4,2023-07-11 02:05:30,Positive
Google Play,A very good social site,5,2023-07-11 17:44:01,Positive
Google Play,"Best app ever, what an amazing",5,2023-07-06 21:50:57,Positive
Google Play,Basically Facebook with a different UI. Let's see how long til bots take over this one too.,1,2023-07-11 10:12:59,Negative
Google Play,Just another platform for the famous and rich to speak and the rest of the world to be a ghost. If you're not a verified user with a built-in base no one will ever see a word you say.,1,2023-07-09 03:42:09,Positive
Google Play,"So far so good, just one quick question, in months to come will this app offer useful tool to people looking to be content creators influencers etc ?",5,2023-07-07 07:59:18,Positive
Google Play,must add some switch accounts features so its getting good.,5,2023-07-09 10:46:44,Positive
Google Play,The app is good and is working perfectly but I didn't gave 5 stars because zuck copied from Twitter 💀,4,2023-07-09 01:53:25,Negative
Google Play,Very good experience ❤️❤️,5,2023-07-07 15:53:27,Positive
Google Play,Its same as twitter whays is the diffrence,1,2023-07-08 06:24:22,Positive
Google Play,Not sure but maybe after. 5 years he will be the biggest app like Twitter,2,2023-07-06 07:57:00,Positive
Google Play,It's very Interesting.,5,2023-07-06 04:38:51,Negative
Google Play,"It has been a very successful application, it has a few shortcomings, but I think they will be completed. I loved",5,2023-07-06 11:14:44,Positive
Google Play,"App is crashing, can't post or comment on anything.",1,2023-07-08 14:42:14,Negative
Google Play,Copy of Twitter 😁,1,2023-07-06 11:49:07,Negative
Google Play,Good app,5,2023-07-16 14:28:37,Positive
Google Play,Twitter is that you ???,1,2023-07-09 18:30:34,Positive
Google Play,Keeps crashing. Myspace would never do this to me.,2,2023-07-11 01:02:19,Negative
Google Play,Carbon copy of Twitter.,1,2023-07-07 16:09:44,Negative
App Store,It’s fine but I’m not interested until I can see a timeline of only people I chose to follow.,2,2023-07-06 11:01:03,Negative
Google Play,this thing is laggy asf I cant even use it,2,2023-07-07 00:35:06,Negative
Google Play,"So, immediate problems: The way to choose files is unsortable and awful. Writing replies to ANY post is frustrating because the keyboard will cover it. Curating your feed is difficult at best and impossible at worst, since at first it only shows verified account's posts— except you literally can't search for topics you enjoy to interact with those and curate your algorithm. I really hope it gets better.",2,2023-07-07 03:17:50,Negative
Google Play,Am i the first one to add review?? 😎 All the best,4,2023-07-06 14:53:47,Positive
Google Play,Good app,1,2023-07-06 13:49:47,Positive
Google Play,Yah it's fine app easy to use but not fun I find it boring and not really good I feel it's really early to judge it after some time it will be fun,1,2023-07-14 09:46:18,Positive
App Store,It has potential but they didnt fix what the issue was with twitter. You still can not edit a post after it has been shared. You also see a bunch of posts of accounts you are not following. Which defeats the purpose of trying to control the feed with things you chose.,3,2023-07-07 15:11:24,Neutral
App Store,"I downloaded this app to compare it to Twitter. I don’t have Instagram and therefore couldn’t sign in. Currently doesn’t support Apple accounts which has been around for a very long time. 

I’ll edit my review as soon as they allow for account creation via Apple.",1,2023-07-06 13:21:11,Negative
Google Play,Good app,5,2023-07-06 06:08:38,Positive
Google Play,Nice app from Instagram,5,2023-07-09 00:36:24,Positive
Google Play,Worst app ever👎🏻,1,2023-07-11 13:34:59,Negative
Google Play,PAGE UNAVAILABLEEE,1,2023-07-15 21:26:49,Positive
Google Play,Better than Twitter 🤩🤩🤩🤩🤩🤩🤩🤩,5,2023-07-06 05:30:56,Positive
Google Play,Better User experience than Twitter,5,2023-07-06 06:17:58,Positive
Google Play,Twitter's copy 🤡,1,2023-07-06 22:36:52,Negative
Google Play,Threads team Add photo and video download option and add save post option also Upcoming update Thank you 😊,4,2023-07-13 06:42:15,Neutral
Google Play,"I love it,very smooth app",5,2023-07-06 21:53:57,Positive
Google Play,This thread profile was Tamil language letter கு ✨,5,2023-07-06 15:07:19,Negative
Google Play,I hope the thread can be automatically translated. I found it slightly difficult that i need to translate the thread using different app,4,2023-07-06 09:21:04,Positive
Google Play,Mind blowing,5,2023-07-08 03:54:31,Positive
Google Play,My thread application keeps bugging everytime I opened it,2,2023-07-06 00:57:24,Negative
Google Play,I need Blue 🔵 Mark,5,2023-07-07 13:53:55,Positive
Google Play,"Horrible app, mark need to jump off a bridge",1,2023-07-09 11:20:36,Positive
Google Play,Such a great app!,5,2023-07-06 15:30:01,Positive
Google Play,"Get log out and app crash when trying to post something, on mobile device",2,2023-07-17 12:06:38,Negative
App Store,im excited for threads woohoo twitter but good! when i try to reply or post though the app crashes,3,2023-07-05 23:38:50,Negative
Google Play,"Great but needs a trending tab, and a sfw feature. It is not sfw.",3,2023-07-21 11:19:12,Positive
App Store,Trying to use the app on my iPad and it gives log in error,5,2023-07-06 16:48:47,Negative
Google Play,"Overall positive, just needs a private messaging feature.",4,2023-07-06 16:29:28,Neutral
Google Play,Great apps,5,2023-07-06 21:57:35,Positive
Google Play,Chigh bahiya hai raptchic chigh hai,5,2023-07-07 05:34:20,Positive
Google Play,The app needs more work. It constantly fails to upload upload and barely shows most of my posts and comments.,1,2023-07-19 10:31:21,Neutral
Google Play,I like the app,2,2023-07-23 08:33:36,Positive
Google Play,It's a copy. Should have its own interface and features . Something new should have been introduced!,1,2023-07-08 02:37:00,Neutral
Google Play,Zuck making a new app so I don’t get any girl here too. Sobs!🙂,3,2023-07-08 05:33:49,Negative
