source,review_description,rating,review_date,sentiment
Google Play,چرته,1,2023-07-14 00:01:29,Negative
Google Play,Not perfect but could be great if they begin minor improvements like hashtags and more comprehensive search. Runs really smooth and UI is clean and simple. Hopefully it doesn't get too bloated and busy like Instagram. A lot better than the cess pool that is Twitter.,5,2023-07-22 08:30:25,Positive
Google Play,Excellent,5,2023-07-06 18:48:14,Positive
Google Play,The app is good,5,2023-07-09 23:08:41,Positive
Google Play,Issue it fails to install!!,1,2023-07-07 17:14:29,Negative
Google Play,Meta team you just provide one platform to login just Instagram what can i do if i didn't want to sign up through Instagram there will be other options like sign in through Google account Facebook etc.,1,2023-07-08 05:10:49,Negative
Google Play,Bakwash app. Not useful,1,2023-07-06 10:27:01,Negative
Google Play,"Maganda siya, problema lang is wala akong ka premium threads na mag ch-chat sakin sa ig, walang "" hi i saw your threads, and yes ako yung mag firstmove",2,2023-07-08 14:50:12,Negative
Google Play,Super,5,2023-07-09 14:19:40,Positive
Google Play,What going on Thread! I can type but I can't see me typing a comment under any post that includes a photo/video/GIF.,2,2023-07-07 00:56:59,Negative
Google Play,Connecting and redirecting to Instagram resets the Threads' profile. And then shows partial data from Instagram. Test it well team 😗🤏🏼,3,2023-07-06 21:58:49,Neutral
Google Play,"Hey ,please don't make same color and options like Instagram make it different and use some color with the opening logo. I like the sign up option with Instagram but again I tell you please don't mix insta and thread together",3,2023-07-08 03:34:24,Neutral
Google Play,Videos play no sound and when you click the unmute button the video just gets stuck. Very irritating bug,3,2023-07-08 18:42:35,Neutral
Google Play,I am the 541 reviewer 😅,3,2023-07-06 18:41:27,Neutral
Google Play,amazing and very smooth,5,2023-07-06 11:08:37,Positive
Google Play,What's use of this application 🙄 Don't take this for time wastage,3,2023-07-06 03:02:06,Neutral
Google Play,Syber War with Mark Zuckerberg and Elon Musk 😂 Twitter v/s Threads 🤣 Let's see who won the game 😂😂 জয় বাংলা!,1,2023-07-06 04:39:42,Negative
Google Play,عاااااااااااایییییی 👏🏿 👌🏻 👏🏿 👌🏻 👏🏿 👌🏻 like ❤️ ❤️ ❤️ ❤️ ❤️ ❤️,5,2023-07-07 21:26:22,Positive
Google Play,Full league,1,2023-07-07 09:18:08,Negative
Google Play,Perfect,5,2023-07-09 13:43:34,Positive
Google Play,Khash dm bhi hota isme 😭,3,2023-07-07 09:58:13,Neutral
Google Play,Wow very better than twitter,5,2023-07-12 12:17:55,Positive
Google Play,I had error and doesn't work for me,1,2023-07-10 12:48:05,Negative
App Store,I hate Elon,5,2023-07-06 17:30:44,Positive
Google Play,"Don't make an account if you intend to delete it after because this app doesn't provide that. Once you make an account, you won't be able to delete the account completely without deleting your ig account. Home algorithm also meh, this app doesn't care to ask what your interests are. They just shove all accounts to your home even though you don't follow anyone. This app also put that @numbers to your bio, which annoying and can't be hidden. I really hate my decision to make account, deactivated",1,2023-07-08 15:12:35,Negative
Google Play,Amazing app i feel the positive energy,5,2023-07-06 21:35:46,Positive
Google Play,Gg,5,2023-07-06 22:30:12,Positive
Google Play,Good good better bessssttttttttt,5,2023-07-07 03:56:15,Positive
Google Play,am i the first one to give this app an review🤣 this is good ig,5,2023-07-06 05:57:17,Positive
Google Play,3rd class copy of twitter.,1,2023-07-07 21:01:28,Negative
App Store,Clicking on create post instantly makes the app crash,3,2023-07-07 00:58:16,Neutral
Google Play,Nice,4,2023-07-06 09:38:48,Positive
